起始城市	到达城市	公司			航班号	起飞时间戳		到达时间戳		价格	最大折扣	满载	当前人数		
北京	包头	上海航空公司		FM2909	201711181510	201711181620	1360	0.2	120	112	
北京	包头	中国国际航空公司		CA1135	201711141410	201711141520	2831	0.5	180	175	
北京	包头	上海航空公司		FM2945	201712221850	201712221950	3398	0.3	290	283	
北京	北海	中国南方航空(集团)公司	CZ3148	201712281955	201712280040	2786	0.1	200	194	
北京	北海	中国国际航空公司		CA1881	201712221135	201712221500	2895	0.06	290	280	
北京	常德	中国南方航空(集团)公司	CZ3188	201712291520	201712291750	2077	0.4	120	112	
北京	常州	上海航空公司		FM2925	201711150800	201711150940	3307	0.13	280	273	
北京	常州	中国国际航空公司		CA1825	201712171335	201712171515	1901	0.4	250	244	
北京	常州	中国国际航空公司		CA1863	201711170815	201711171000	3257	0.1	140	136	
北京	成都	中国国际航空公司		CA4114	201711051200	201711051445	1728	0.2	220	214	
北京	成都	中国国际航空公司		CA422	201712231300	201712231535	1909	0	190	183	
北京	成都	四川航空股份有限公司		3U8884	201711301310	201711301550	2949	0.4	130	123	
北京	成都	中国国际航空公司		CA4108	201711261400	201711261645	3307	0.03	300	297	
北京	成都	上海航空公司		FM2283	201712261555	201712261820	2636	0	240	230	
北京	成都	四川航空股份有限公司		3U8882	201711021055	201711021350	3548	0.2	180	170	
北京	成都	中国国际航空公司		CA4116	201712281500	201712281745	2586	0.19	290	283	
北京	成都	四川航空股份有限公司		3U8896	201711280750	201711280955	2180	0.5	300	290	
北京	成都	中国国际航空公司		CA1405	201711180800	201711181045	1867	0	190	180	
北京	成都	中国南方航空(集团)公司	CZ6161	201712080845	201712081120	2712	0.4	160	156	
北京	成都	四川航空股份有限公司		3U8886	201711191525	201711191805	2516	0.2	260	253	
北京	成都	中国国际航空公司		CA1407	201712021600	201712021845	2822	0.1	150	145	
北京	成都	中国国际航空公司		CA945	201711121530	201711121810	1594	0.4	200	193	
北京	成都	中国国际航空公司		CA4112	201712270900	201712271145	1285	0	100	96	
北京	成都	中国南方航空(集团)公司	CZ3903	201712191600	201712191835	3133	0.1	230	225	
北京	成都	中国国际航空公司		CA1415	201712041000	201712041230	1907	0.4	230	224	
北京	成都	中国国际航空公司		CA4102	201712071100	201712071345	2921	0.1	200	197	
北京	成都	中国国际航空公司		CA4188	201711121750	201711122200	3225	0.4	160	155	
北京	成都	中国国际航空公司		CA1425	201711221700	201711221930	2966	0.3	170	160	
北京	成都	中国国际航空公司		CA4110	201712161900	201712162145	3065	0.4	100	92	
北京	成都	中国国际航空公司		CA4106	201711081930	201711082215	2819	0.4	200	196	
北京	成都	四川航空股份有限公司		3U8888	201711161810	201711162050	1991	0.3	210	201	
北京	成都	四川航空股份有限公司		3U8892	201711032220	201711030100	3702	0.2	180	170	
北京	成都	四川航空股份有限公司		3U8894	201711171910	201711172150	2884	0.4	150	145	
北京	成都	中国国际航空公司		CA4120	201712022000	201712022245	2088	0.2	120	110	
北京	成都	四川航空股份有限公司		3U8890	201711132010	201711132300	1857	0.3	160	153	
北京	成都	中国国际航空公司		CA4104	201711141800	201711142045	1857	0.13	270	266	
北京	赤峰	中国国际航空公司		CA1281	201712061410	201712061510	1962	0.05	230	227	
北京	重庆	中国国际航空公司		CA1439	201711081330	201711081600	2472	0.5	190	187	
北京	重庆	中国国际航空公司		CA1411	201712041430	201712041700	2884	0.3	210	206	
北京	重庆	中国国际航空公司		CA4136	201712191930	201712192200	3500	0.5	170	163	
北京	重庆	中国国际航空公司		CA1419	201711040730	201711041000	2069	0.3	290	283	
北京	重庆	中国南方航空(集团)公司	CZ3183	201711210810	201711211050	1651	0.25	190	183	
北京	重庆	中国国际航空公司		CA1409	201711211530	201711211800	1641	0.1	110	107	
北京	重庆	四川航空股份有限公司		3U8832	201712301625	201712301855	2455	0.3	190	181	
北京	重庆	中国国际航空公司		CA1429	201711080930	201711081200	3916	0.18	230	226	
北京	重庆	中国南方航空(集团)公司	CZ8106	201712111720	201712111940	2835	0.3	170	161	
北京	重庆	四川航空股份有限公司		3U8830	201712091045	201712091320	2528	0.5	160	155	
北京	重庆	中国国际航空公司		CA4142	201711271730	201711272000	1411	0.4	220	215	
北京	重庆	上海航空公司		FM2285	201711151630	201711151855	3106	0.24	210	207	
北京	重庆	中国国际航空公司		CA4130	201711241130	201711241400	2147	0.5	210	201	
北京	重庆	中国国际航空公司		CA4138	201711301230	201711301500	1788	0.1	100	97	
北京	重庆	中国国际航空公司		CA4140	201712271830	201712272100	2748	0.2	180	176	
北京	重庆	四川航空股份有限公司		3U8834	201711252135	201711250015	1580	0	200	190	
北京	达县	中国国际航空公司		CA4188	201712131750	201712132010	2599	0.1	270	261	
北京	大连	中国国际航空公司		CA1641	201712201150	201712201310	2343	0	180	176	
北京	大连	中国南方航空(集团)公司	CZ6126	201711231010	201711231130	2064	0.2	120	112	
北京	大连	中国国际航空公司		CA923	201712160735	201712160855	1909	0.4	130	121	
北京	大连	中国国际航空公司		CA153	201711260830	201711260945	1816	0.1	100	92	
北京	大连	中国南方航空(集团)公司	CZ6132	201711210840	201711210940	3063	0.4	140	131	
北京	大连	中国国际航空公司		CA953	201711180855	201711181020	1468	0.3	120	112	
北京	大连	中国国际航空公司		CA1605	201712041030	201712041155	2483	0.1	240	231	
北京	大连	中国南方航空(集团)公司	CZ6140	201711221250	201711221400	3410	0.32	260	257	
北京	大连	中国国际航空公司		CA962	201711041335	201711041455	1804	0.2	100	96	
北京	大连	中国南方航空(集团)公司	CZ6122	201712151605	201712151715	2261	0	280	276	
北京	大连	中国南方航空(集团)公司	CZ6134	201711261805	201711261910	2499	0.3	190	180	
北京	大连	中国国际航空公司		CA1699	201712242030	201712242145	2215	0.1	130	121	
北京	大连	中国国际航空公司		CA1607	201712261335	201712261455	1615	0.4	260	255	
北京	大连	中国南方航空(集团)公司	CZ6138	201711032040	201711032200	1567	0.5	180	174	
北京	大连	大新华航空有限公司		CN7183	201711032200	201711032310	3449	0.4	250	241	
北京	大庆	中国国际航空公司		CA1695	201712281330	201712281520	1772	0.1	250	244	
北京	大庆	中国南方航空(集团)公司	CZ6214	201711181040	201711181230	3042	0.27	280	270	
北京	大庆	中国南方航空(集团)公司	CZ6216	201712131910	201712132050	2045	0.5	290	281	
北京	大同	中国国际航空公司		CA1119	201711020810	201711020910	2576	0.37	160	152	
北京	丹东	中国国际航空公司		CA1631	201711301030	201711301210	3455	0.17	300	294	
北京	鄂尔多斯	中国国际航空公司		CA1149	201711270750	201711270920	1362	0.4	100	93	
北京	鄂尔多斯	中国国际航空公司		CA1143	201711101810	201711101940	2966	0.4	190	182	
北京	鄂尔多斯	上海航空公司		FM2941	201711051355	201711051500	2625	0	110	100	
北京	福州	中国国际航空公司		CA1505	201711020835	201711021105	2494	0.41	280	275	
北京	福州	中国国际航空公司		CA1807	201712191620	201712191850	3014	0.3	290	281	
北京	福州	中国国际航空公司		CA1821	201712062000	201712062230	1339	0.5	260	254	
北京	福州	上海航空公司		FM2901	201712061810	201712062040	2276	0.3	300	294	
北京	阜阳	上海航空公司		FM2947	201712060810	201712060920	2968	0.1	240	233	
北京	赣州	中国南方航空(集团)公司	CZ3255	201712011330	201712011555	3552	0.1	110	102	
北京	广元	中国国际航空公司		CA1457	201711161210	201711161420	2699	0.3	220	211	
北京	广州	中国南方航空(集团)公司	CZ323	201712131415	201712131720	2365	0.5	160	155	
北京	广州	中国南方航空(集团)公司	CZ3114	201711302115	201711300020	1390	0.3	130	123	
北京	广州	中国南方航空(集团)公司	CZ3110	201711061915	201711062205	2334	0.2	160	152	
北京	广州	中国南方航空(集团)公司	CZ371	201712231715	201712232020	1527	0.2	280	273	
北京	广州	中国国际航空公司		CA1301	201711111500	201711111800	2193	0.32	290	283	
北京	广州	上海航空公司		FM2275	201712141730	201712141955	2196	0.3	210	200	
北京	广州	中国南方航空(集团)公司	CZ3102	201712211215	201712211505	3329	0.1	180	172	
北京	广州	中国南方航空(集团)公司	CZ3104	201711171515	201711171820	2508	0.2	110	106	
北京	广州	中国国际航空公司		CA1351	201712160800	201712161100	3525	0.2	200	191	
北京	广州	中国国际航空公司		CA1321	201712080900	201712081200	1863	0.22	300	297	
北京	广州	中国南方航空(集团)公司	CZ3108	201711090915	201711091220	2157	0.3	300	296	
北京	广州	中国南方航空(集团)公司	CZ346	201712121615	201712121905	2619	0.5	220	217	
北京	广州	中国南方航空(集团)公司	CZ3162	201712121015	201712121310	3166	0.3	130	127	
北京	广州	中国国际航空公司		CA1309	201711131800	201711132100	2011	0.3	100	93	
北京	广州	中国南方航空(集团)公司	CZ3112	201712291115	201712291425	3726	0	220	216	
北京	广州	中国南方航空(集团)公司	CZ3106	201711221315	201711221615	1850	0	290	284	
北京	广州	中国国际航空公司		CA1339	201711251200	201711251500	2872	0.2	220	215	
北京	贵阳	中国国际航空公司		CA4162	201712081215	201712081515	2921	0.4	230	225	
北京	贵阳	中国国际航空公司		CA1461	201712110745	201712111045	2732	0.2	240	235	
北京	贵阳	中国南方航空(集团)公司	CZ3682	201712130905	201712131200	2066	0.13	150	147	
北京	贵阳	中国国际航空公司		CA1437	201712231610	201712231900	2093	0.2	200	195	
北京	贵阳	中国南方航空(集团)公司	CZ6188	201711031925	201711032225	2328	0	120	116	
北京	贵阳	中国南方航空(集团)公司	CZ3688	201711271155	201711271455	1927	0.1	200	192	
北京	贵阳	中国国际航空公司		CA4166	201712141940	201712142245	2021	0.1	140	134	
北京	桂林	中国国际航空公司		CA1311	201712280750	201712281040	2026	0.4	190	184	
北京	桂林	大新华航空有限公司		CN7215	201711010920	201711011220	3049	0.3	210	206	
北京	桂林	中国南方航空(集团)公司	CZ3288	201712262210	201712260050	3521	0.1	150	143	
北京	桂林	中国国际航空公司		CA1225	201712031530	201712032010	2522	0.2	100	92	
北京	桂林	中国国际航空公司		CA1471	201711191150	201711191455	2759	0.27	160	156	
北京	桂林	中国南方航空(集团)公司	CZ3282	201711221405	201711221710	2022	0.3	160	152	
北京	哈尔滨	中国南方航空(集团)公司	CZ6204	201712071710	201712071840	2150	0.2	210	201	
北京	哈尔滨	中国南方航空(集团)公司	CZ6218	201712161805	201712161945	2797	0.1	250	240	
北京	哈尔滨	中国南方航空(集团)公司	CZ6657	201711050735	201711050920	2705	0.2	220	215	
北京	哈尔滨	中国国际航空公司		CA1603	201711120810	201711120940	1812	0.5	140	136	
北京	哈尔滨	大新华航空有限公司		CN7127	201712020825	201712021000	1619	0.43	140	131	
北京	哈尔滨	中国南方航空(集团)公司	CZ6220	201711151150	201711151330	3893	0.1	150	140	
北京	哈尔滨	中国国际航空公司		CA1665	201711201355	201711201540	3021	0.5	150	144	
北京	哈尔滨	大新华航空有限公司		CN7149	201712121455	201712121640	3318	0.2	110	103	
北京	哈尔滨	中国国际航空公司		CA1611	201711081620	201711081800	2689	0.13	190	182	
北京	哈尔滨	中国国际航空公司		CA1621	201711091810	201711091955	3578	0.04	270	267	
北京	哈尔滨	中国国际航空公司		CA1639	201712222035	201712222215	2446	0.1	130	125	
北京	哈尔滨	中国南方航空(集团)公司	CZ6202	201711032300	201711030040	1266	0.3	170	160	
北京	哈尔滨	中国国际航空公司		CA1623	201711211255	201711211435	1900	0.4	260	256	
北京	哈尔滨	中国国际航空公司		CA1643	201712040955	201712041140	2656	0.1	280	271	
北京	哈尔滨	中国南方航空(集团)公司	CZ6267	201711280745	201711280940	2655	0.4	110	104	
北京	哈尔滨	大新华航空有限公司		CN7129	201712260950	201712261130	1905	0.2	180	170	
北京	哈尔滨	中国南方航空(集团)公司	CZ6279	201712181040	201712181220	2519	0.3	170	167	
北京	海口	中国南方航空(集团)公司	CZ6720	201712050850	201712051235	2872	0.2	110	101	
北京	海口	中国南方航空(集团)公司	CZ3120	201712151310	201712151700	1664	0.5	170	163	
北京	海口	中国南方航空(集团)公司	CZ6158	201711052110	201711050050	2303	0.2	200	190	
北京	海口	中国南方航空(集团)公司	CZ6366	201710310725	201710311250	3242	0.12	110	105	
北京	海口	中国国际航空公司		CA1379	201712230730	201712231100	2966	0.1	180	170	
北京	海口	上海航空公司		FM2911	201711170820	201711171250	2871	0.2	120	110	
北京	海口	中国国际航空公司		CA1355	201712131700	201712132030	2630	0.5	150	140	
北京	海拉尔	上海航空公司		FM2291	201712200940	201712201140	2596	0.3	240	233	
北京	海拉尔	中国国际航空公司		CA1131	201711160730	201711160930	2702	0.3	190	185	
北京	杭州	上海航空公司		FM2287	201711220815	201711221000	2471	0.33	140	135	
北京	杭州	中国南方航空(集团)公司	CZ5166	201712220755	201712220955	2634	0.3	240	237	
北京	杭州	中国南方航空(集团)公司	CZ5132	201712101055	201712101300	2103	0	140	131	
北京	杭州	中国国际航空公司		CA1509	201711050800	201711051000	1775	0.3	240	233	
北京	杭州	中国国际航空公司		CA1702	201711281100	201711281255	2262	0.2	250	244	
北京	杭州	中国国际航空公司		CA966	201711100900	201711101100	2349	0.1	300	290	
北京	杭州	中国国际航空公司		CA1704	201711291200	201711291405	2282	0.5	250	242	
北京	杭州	中国国际航空公司		CA1595	201712010900	201712011100	1747	0.2	170	167	
北京	杭州	中国南方航空(集团)公司	CZ5164	201711150915	201711151115	3116	0.5	300	291	
北京	杭州	中国国际航空公司		CA1712	201712031300	201712031455	2447	0.02	200	191	
北京	杭州	中国南方航空(集团)公司	CZ3905	201711280910	201711281110	2082	0.2	180	174	
北京	杭州	中国国际航空公司		CA1716	201712061400	201712061600	2047	0.4	300	291	
北京	杭州	中国南方航空(集团)公司	CZ6163	201711291600	201711291755	2399	0.1	200	194	
北京	杭州	中国国际航空公司		CA1563	201712081500	201712081700	2142	0.3	270	262	
北京	杭州	中国南方航空(集团)公司	CZ5168	201711281515	201711281715	2770	0.46	220	212	
北京	杭州	中国国际航空公司		CA1565	201711071700	201711071855	1948	0.2	140	132	
北京	杭州	中国国际航空公司		CA1706	201712231800	201712232000	2741	0	170	164	
北京	杭州	中国国际航空公司		CA1547	201711021600	201711021800	2444	0.1	290	281	
北京	杭州	中国国际航空公司		CA1710	201711071900	201711072100	3454	0.42	210	203	
北京	杭州	中国南方航空(集团)公司	CZ5162	201711162200	201711162355	3185	0.4	150	143	
北京	杭州	中国国际航空公司		CA1708	201711252100	201711252300	2443	0.3	170	166	
北京	合肥	中国国际航空公司		CA1543	201711011510	201711011655	2941	0	110	105	
北京	合肥	中国国际航空公司		CA1579	201711141705	201711141850	1376	0.5	260	256	
北京	合肥	中国国际航空公司		CA1845	201712242005	201712242150	3405	0.4	200	193	
北京	合肥	中国国际航空公司		CA1843	201711191230	201711191415	2752	0.2	280	276	
北京	合肥	中国国际航空公司		CA1835	201711120750	201711120945	3233	0	250	243	
北京	黑河	中国南方航空(集团)公司	CZ6657	201711220735	201711221100	2785	0.1	130	123	
北京	呼和浩特	上海航空公司		FM2937	201711121240	201711121325	3653	0.4	100	96	
北京	呼和浩特	中国国际航空公司		CA1103	201711230745	201711230845	3251	0.06	160	154	
北京	呼和浩特	中国国际航空公司		CA1111	201711131125	201711131230	3260	0.2	180	171	
北京	呼和浩特	中国国际航空公司		CA1267	201712111830	201712111930	3842	0.2	170	165	
北京	呼和浩特	中国南方航空(集团)公司	CZ6637	201711092140	201711092235	2514	0.03	260	252	
北京	呼和浩特	中国国际航空公司		CA1113	201711291925	201711292025	2013	0.4	240	232	
北京	呼和浩特	中国国际航空公司		CA1101	201712032025	201712032130	1680	0.1	290	282	
北京	呼和浩特	中国国际航空公司		CA1105	201712202055	201712202200	3051	0.18	270	260	
北京	呼和浩特	中国国际航空公司		CA1125	201711081520	201711081620	1897	0.3	200	190	
北京	呼和浩特	中国国际航空公司		CA1115	201711111650	201711111755	2831	0.4	280	275	
北京	黄山	中国国际航空公司		CA1551	201711161840	201711162030	3585	0.2	230	222	
北京	台州	中国国际航空公司		CA1851	201711161335	201711161545	1942	0.4	120	110	
北京	台州	中国国际航空公司		CA1869	201711211810	201711212020	2617	0	180	177	
北京	台州	中国国际航空公司		CA1851	201711181335	201711181545	1917	0.4	280	276	
北京	台州	中国国际航空公司		CA1869	201711061810	201711062020	1248	0.1	180	176	
北京	济南	中国国际航空公司		CA1152	201711170940	201711171030	1910	0.1	150	146	
北京	济南	中国国际航空公司		CA1156	201711171305	201711171355	2276	0.3	270	266	
北京	济南	中国国际航空公司		CA1158	201712051900	201712051950	1557	0.11	150	142	
北京	济南	中国国际航空公司		CA1160	201712052215	201712052305	2305	0.3	290	282	
北京	佳木斯	中国国际航空公司		CA1691	201712190810	201712191010	2725	0.25	220	214	
北京	晋江	中国国际航空公司		CA1895	201711201045	201711201320	1449	0.1	290	283	
北京	晋江	中国国际航空公司		CA1895	201711081045	201711081320	2136	0.4	220	217	
北京	晋江	中国国际航空公司		CA1895	201711081045	201711081320	1716	0.5	220	215	
北京	井冈山	中国国际航空公司		CA1805	201711081710	201711081945	1408	0.1	280	275	
北京	景德镇	中国国际航空公司		CA1887	201711091655	201711091845	3039	0.3	120	115	
北京	九寨沟	四川航空股份有限公司		3U8894	201711061915	201711062140	2258	0.3	270	264	
北京	昆明	中国国际航空公司		CA1403	201711060730	201711061050	2406	0.4	110	107	
北京	昆明	中国国际航空公司		CA905	201711280835	201711281220	2164	0	270	262	
北京	昆明	中国国际航空公司		CA4172	201712281220	201712281545	2691	0.3	180	177	
北京	昆明	中国南方航空(集团)公司	CZ6159	201712071540	201712071845	2359	0.3	160	155	
北京	昆明	中国国际航空公司		CA4170	201711061405	201711061720	3485	0.1	220	216	
北京	昆明	中国南方航空(集团)公司	CZ5058	201712181620	201712181925	3299	0.1	110	102	
北京	昆明	中国南方航空(集团)公司	CZ3901	201711230910	201711231235	2030	0	280	272	
北京	昆明	中国南方航空(集团)公司	CZ5052	201712111200	201712111510	2661	0.23	290	280	
北京	昆明	中国南方航空(集团)公司	CZ5056	201711121800	201711122120	1337	0.2	240	236	
北京	昆明	中国国际航空公司		CA1431	201711171605	201711171930	3667	0.3	150	145	
北京	昆明	海航集团祥鹏航空公司		8L7165	201712070835	201712071155	1708	0.4	100	95	
北京	昆明	海航集团祥鹏航空公司		8L7111	201712141530	201712141900	2454	0.1	190	180	
北京	昆明	中国国际航空公司		CA4174	201712272110	201712270025	1698	0.31	200	190	
北京	昆明	中国南方航空(集团)公司	CZ5054	201711282010	201711282325	2001	0.4	150	143	
北京	昆明	四川航空股份有限公司		3U8838	201712091900	201712092315	2121	0.21	260	251	
北京	昆明	海航集团祥鹏航空公司		8L7637	201711031905	201711032220	1039	0.3	230	227	
北京	拉萨	中国国际航空公司		CA4112	201711010900	201711011455	2686	0.2	200	197	
北京	兰州	中国国际航空公司		CA1221	201711201530	201711201745	2839	0.5	210	205	
北京	兰州	中国国际航空公司		CA1271	201712071155	201712071410	1586	0.3	230	221	
北京	兰州	中国国际航空公司		CA1277	201711222015	201711222225	1974	0.26	180	171	
北京	兰州	中国国际航空公司		CA1273	201712140745	201712141010	1744	0.3	170	160	
北京	连云港	上海航空公司		FM2911	201712220820	201712220920	2135	0.2	200	194	
北京	临沂	上海航空公司		FM2269	201712120805	201712120905	2490	0.27	260	253	
北京	柳州	中国国际航空公司		CA1859	201712211055	201712211410	2727	0.45	210	204	
北京	满洲里	上海航空公司		FM2935	201712151620	201712151830	2836	0.32	230	224	
北京	绵阳	中国国际航空公司		CA1455	201712141805	201712142035	2232	0.5	150	143	
北京	绵阳	中国国际航空公司		CA1451	201711290750	201711291005	2795	0.3	200	194	
北京	南昌	中国国际航空公司		CA1581	201711161920	201711162135	1162	0.5	260	255	
北京	南昌	中国国际航空公司		CA1511	201711171150	201711171400	1422	0	200	195	
北京	南昌	大新华航空有限公司		CN7193	201712121655	201712121910	3255	0	190	184	
北京	南昌	中国国际航空公司		CA1573	201711060835	201711061055	2609	0.31	150	146	
北京	南充	中国南方航空(集团)公司	CZ6946	201711011440	201711011720	1852	0.3	190	187	
北京	南京	中国国际航空公司		CA1817	201712030900	201712031050	2958	0.2	230	227	
北京	南京	中国南方航空(集团)公司	CZ5006	201712251030	201712251210	2371	0	230	225	
北京	南京	中国国际航空公司		CA1847	201712101100	201712101250	2699	0.5	140	136	
北京	南京	中国南方航空(集团)公司	CZ5010	201712111735	201712111915	2817	0.05	170	163	
北京	南京	中国国际航空公司		CA1583	201711111200	201711111350	1567	0.4	110	102	
北京	南京	中国国际航空公司		CA1503	201712131700	201712131850	2019	0.2	110	105	
北京	南京	中国国际航空公司		CA982	201711092000	201711092150	2632	0.3	290	284	
北京	南京	中国国际航空公司		CA1819	201712102000	201712102150	2634	0.5	290	283	
北京	南京	中国国际航空公司		CA1537	201711111300	201711111450	1989	0.3	150	147	
北京	南京	中国国际航空公司		CA1561	201712181500	201712181655	3054	0.21	240	234	
北京	南京	中国南方航空(集团)公司	CZ5008	201712051200	201712051350	2938	0.1	240	231	
北京	南京	中国南方航空(集团)公司	CZ5016	201711231945	201711232135	3299	0.3	180	173	
北京	南京	中国南方航空(集团)公司	CZ5002	201711251555	201711251745	2988	0	140	133	
北京	南京	中国南方航空(集团)公司	CZ3181	201711251915	201711252105	2214	0.2	120	116	
北京	南京	中国南方航空(集团)公司	CZ5012	201711282120	201711282320	2895	0.3	200	197	
北京	南宁	中国南方航空(集团)公司	CZ6284	201711202110	201711202355	3697	0.5	220	215	
北京	南宁	中国国际航空公司		CA903	201712272015	201712272345	2318	0.5	290	280	
北京	南宁	大新华航空有限公司		CN7157	201712251355	201712251725	1861	0	250	242	
北京	南宁	中国南方航空(集团)公司	CZ3286	201711121235	201711121605	1964	0.03	150	140	
北京	南宁	中国国际航空公司		CA1375	201711161310	201711161640	1576	0.2	270	263	
北京	南宁	中国国际航空公司		CA1465	201712061530	201712061845	3537	0.4	210	203	
北京	南宁	中国国际航空公司		CA1335	201711160745	201711161100	1560	0.1	130	127	
北京	南宁	中国国际航空公司		CA1485	201712221130	201712221445	2343	0.3	160	154	
北京	南阳	中国南方航空(集团)公司	CZ3180	201711240735	201711241040	2459	0.1	120	117	
北京	南阳	中国南方航空(集团)公司	CZ3178	201711291720	201711292000	2914	0.4	200	197	
北京	宁波	中国国际航空公司		CA1541	201711011310	201711011510	2978	0.3	170	164	
北京	宁波	中国南方航空(集团)公司	CZ3185	201712191800	201712191950	2322	0.3	250	244	
北京	宁波	中国国际航空公司		CA1839	201711081035	201711081240	1901	0.4	220	211	
北京	宁波	中国国际航空公司		CA1853	201712061930	201712062130	2343	0.3	300	293	
北京	齐齐哈尔	中国国际航空公司		CA1659	201711060810	201711061000	3011	0.4	140	130	
北京	青岛	中国国际航空公司		CA1555	201711201905	201711202010	2950	0.45	140	137	
北京	青岛	中国国际航空公司		CA1575	201711301345	201711301505	2059	0.3	250	244	
北京	青岛	中国国际航空公司		CA4658	201711292050	201711292205	1716	0.1	290	283	
北京	青岛	中国国际航空公司		CA1525	201712152035	201712152135	1620	0.2	130	124	
北京	青岛	中国国际航空公司		CA1559	201711170905	201711171015	3306	0.3	220	210	
北京	青岛	中国南方航空(集团)公司	CZ5196	201711192100	201711192215	2552	0.4	280	273	
北京	青岛	中国国际航空公司		CA4656	201712301530	201712301640	3345	0	100	90	
北京	青岛	中国国际航空公司		CA4660	201712272205	201712272315	2865	0.2	220	211	
北京	青岛	中国国际航空公司		CA1569	201712130745	201712130915	2685	0.5	290	287	
北京	青岛	中国国际航空公司		CA1571	201711071645	201711071800	2424	0.1	210	201	
北京	青岛	中国国际航空公司		CA4652	201712080950	201712081055	2544	0.3	210	204	
北京	青岛	中国南方航空(集团)公司	CZ5194	201711051055	201711051215	3103	0.2	100	91	
北京	衢州	上海航空公司		FM2279	201712091620	201712091820	1678	0.1	270	265	
北京	三亚	上海航空公司		FM2281	201711271520	201711271900	2559	0	290	280	
北京	三亚	上海航空公司		FM2277	201711010755	201711011140	2345	0.1	190	187	
北京	三亚	中国南方航空(集团)公司	CZ6712	201712281315	201712281710	1369	0.2	120	115	
北京	三亚	中国南方航空(集团)公司	CZ6718	201712100900	201712101250	2242	0.4	150	142	
北京	三亚	中国国际航空公司		CA1345	201712051515	201712051905	3609	0.41	180	176	
北京	三亚	中国国际航空公司		CA1369	201711180750	201711181140	1904	0.3	270	260	
北京	三亚	中国南方航空(集团)公司	CZ6714	201711231500	201711231850	3647	0	220	217	
北京	三亚	中国南方航空(集团)公司	CZ6716	201711201900	201711202230	2695	0	110	106	
北京	厦门	中国国际航空公司		CA1833	201712061140	201712061430	1438	0.5	150	147	
北京	厦门	中国国际航空公司		CA977	201711211550	201711211840	1670	0.2	300	291	
